State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AK,99576,DILLINGHAM,0.000000,0.060000,0,0.060000,0,3
AK,99577,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99583,"FALSE PASS",0.000000,0.030000,0,0.030000,0,1
AK,99586,"ALASKA STATE",0.000000,0.000000,0,0,0,4
AK,99587,"ALASKA STATE",0.000000,0.000000,0,0,0,2
AK,99588,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99590,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99599,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99602,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99603,HOMER,0.000000,0.075000,0.030000,0.045000,0,7
AK,99605,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99608,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99609,KASIGLUK,0.000000,0.030000,0,0.030000,0,1
AK,99610,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99611,KENAI,0.000000,0.060000,0.030000,0.030000,0,2
AK,99612,"KING COVE",0.000000,0.060000,0,0.060000,0,1
AK,99615,KODIAK,0.000000,0.070000,0,0.070000,0,3
AK,99621,KWETHLUK,0.000000,0.050000,0,0.050000,0,1
AK,99622,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99623,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99624,"LARSEN BAY",0.000000,0.030000,0,0.030000,0,1
AK,99631,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99633,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99634,NAPAKIAK,0.000000,0.050000,0,0.050000,0,1
AK,99635,KENAI,0.000000,0.060000,0.030000,0.030000,0,2
AK,99636,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99639,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99643,"OLD HARBOR",0.000000,0.030000,0,0.030000,0,1
AK,99644,OUZINKIE,0.000000,0.030000,0,0.030000,0,1
AK,99645,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99649,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99652,"ALASKA STATE",0.000000,0.000000,0,0,0,2
AK,99653,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99654,"ALASKA STATE",0.000000,0.000000,0,0,0,1
